*****
32 , 0.05 , 1000 , 0 , 1 , 10 , 100 , 0.85 , 1.0 , 0.65 , 1.0 , .055
32.0,1000,1000,1000,813,1000,0,1000,1000,740,1000,0
32.05,1063,1063,1063,870,1063,0,1063,1063,799,1063,0
32.1,1038,1038,1038,859,1038,0,1038,1038,779,1038,0
32.15,1029,1029,1029,849,1029,0,1029,1029,760,1029,0
32.2,1020,1020,1020,866,1020,0,1020,1020,786,1020,0
32.25,1044,1040,1043,856,1044,0,1040,1043,797,1044,0
32.3,1064,1056,1063,878,1064,0,1056,1063,796,1064,0
32.35,1002,988,1002,833,1002,0,988,1002,774,1002,0
32.4,1019,981,1012,851,1018,0,981,1012,775,1018,0
32.45,981,913,974,818,980,0,913,974,766,980,0
32.5,1006,879,987,824,1003,0,879,987,773,1003,0
32.55,1009,832,973,823,1005,0,832,973,777,1005,0
32.6,989,714,944,830,985,0,714,944,795,985,0
32.65,962,624,892,766,954,0,624,892,740,954,0
32.7,966,522,845,786,937,0,522,845,753,937,0
32.75,1044,486,867,824,981,0,486,867,783,981,0
32.8,992,351,754,765,898,0,351,754,741,898,0
32.85,1053,309,781,781,944,0,309,781,747,944,0
32.9,1014,222,676,707,845,0,222,676,666,845,0
32.95,1020,166,612,695,809,0,166,612,673,809,0
33.0,1036,145,585,689,791,0,145,585,657,791,0
33.05,1004,106,457,662,666,0,106,457,641,666,0
33.1,1048,69,416,641,653,0,69,416,616,653,0
33.15,1051,41,353,584,549,0,41,353,562,549,0
33.2,1065,28,295,551,506,0,28,295,550,506,0
33.25,990,21,220,473,368,0,21,220,469,368,0
33.3,976,9,173,449,320,0,9,173,459,320,0
33.35,983,9,144,383,269,0,9,144,381,269,0
33.4,1034,5,104,393,226,0,5,104,393,226,0
33.45,1027,8,96,364,184,0,8,96,359,184,0
33.5,1035,3,72,327,141,0,3,72,327,141,0
33.55,1070,2,65,347,127,0,2,65,348,127,0
33.6,1024,0,44,281,94,0,0,44,280,94,0
33.65,1052,1,39,269,69,0,1,39,266,69,0
33.7,1056,3,23,258,54,0,3,23,256,54,0
33.75,1029,1,22,221,42,0,1,22,218,42,0
33.8,1007,0,26,204,44,0,0,26,203,44,0
